Monit_MAP_CODE1,Year,mean_FIN_SQ_FT,median_FIN_SQ_FT,mean_acres,median_acres,mean_EMV_TOTAL,median_EMV_TOTAL,mean_total_tax,median_total_tax
82007600-01,2006,932.9068322981367,932.9068322981367,11.258012422360247,11.258012422360247,350659.62732919253,350659.62732919253,1580.2857142857142,1580.2857142857142
27001900-01,2010,5.484764755545322,5.484764755545322,0.3049052114513678,0.3049052114513678,224129.70297029702,224129.70297029702,3303.4623532120654,3303.4623532120654
62007800-01,2015,1524.7776456599286,1524.7776456599286,0.9034007134363848,0.9034007134363848,403549.8216409037,403549.8216409037,7346.107015457788,7346.107015457788
82006700-01,2004,0.0,0.0,6.943548387096778,6.943548387096778,236695.39170506914,236695.39170506914,1156.9124423963133,1156.9124423963133
70006500-01,2004,1255.230179028133,1255.230179028133,8.662071611253198,8.662071611253198,281753.1969309463,281753.1969309463,0.0,0.0
82036800-01,2008,0.0,0.0,3.801776937618146,3.801776937618146,420486.011342155,420486.011342155,412408.88468809077,412408.88468809077
82011800-01,2004,0.0,0.0,0.8650278810408922,0.8650278810408922,218384.5724907063,218384.5724907063,1668.189591078067,1668.189591078067
82006700-01,2015,924.0,924.0,13.146216216216215,13.146216216216215,250638.73873873873,250638.73873873873,0.0,0.0
27004202-01,2008,0.0,0.0,1.1258088658606815,1.1258088658606815,247881.92285549798,247881.92285549798,4584.858376511226,4584.858376511226
19006500-02,2009,2229.3359511343806,2229.3359511343806,1.3586998254799256,1.3586998254799256,310597.29493891797,310597.29493891797,2939.5794066317626,2939.5794066317626
27016500-01,2015,1490.1360946745563,1490.1360946745563,14.50195266272189,14.50195266272189,335449.7041420118,335449.7041420118,5561.218934911242,5561.218934911242
82000100-07,2015,1010.2168674698795,1010.2168674698795,9.121606425702817,9.121606425702817,323251.0040160643,323251.0040160643,0.0,0.0
82002500-01,2013,1169.6119402985075,1169.6119402985075,22.360298507462687,22.360298507462687,547404.4776119404,547404.4776119404,0.0,0.0
19004700-01,2009,3836.651502843217,3836.651502843217,1.7721770917952877,1.7721770917952877,457268.39967506094,457268.39967506094,5956.424857839155,5956.424857839155
19004200-02,2011,1866.7403846153845,1866.7403846153845,3.370745192307689,3.370745192307689,328812.98076923075,328812.98076923075,3607.230769230769,3607.230769230769
27006700-01,2005,0.0,0.0,0.0,0.0,594805.1209103841,594805.1209103841,12403.910384068278,12403.910384068278
27066100-01,2014,807.948252688172,807.948252688172,0.7711895161290381,0.7711895161290381,282440.88261648745,282440.88261648745,6441.43167562724,6441.43167562724
02000600-01,2010,1533.8581146744411,1533.8581146744411,0.0,0.0,255320.60252672498,255320.60252672498,3887.795918367347,3887.795918367347
27018100-01,2014,1606.072808320951,1606.072808320951,2.48997028231798,2.48997028231798,290863.5958395245,290863.5958395245,4047.0609212481427,4047.0609212481427
62000200-01,2014,1527.820038910506,1527.820038910506,0.6733268482490244,0.6733268482490244,288346.6926070039,288346.6926070039,3296.86186770428,3296.86186770428
10001300-01,2013,2369.485279685967,2369.485279685967,0.9071982335623066,0.9071982335623066,393338.7634936212,393338.7634936212,8304.103042198234,8304.103042198234
82012200-01,2004,0.0,0.0,2.78464849354376,2.78464849354376,477693.543758967,477693.543758967,3852.674318507891,3852.674318507891
82007400-03,2013,1542.6036036036037,1542.6036036036037,3.6045045045045057,3.6045045045045057,313577.47747747746,313577.47747747746,0.0,0.0
82012300-01,2008,0.0,0.0,6.944269005847952,6.944269005847952,417567.2514619883,417567.2514619883,399706.43274853803,399706.43274853803
02009100-01,2014,978.2517006802722,978.2517006802722,3.117278911564626,3.117278911564626,158340.13605442178,158340.13605442178,1502.6326530612246,1502.6326530612246
13002400-01,2005,0.0,0.0,3.422222222222223,3.422222222222223,293077.77777777775,293077.77777777775,2121.777777777778,2121.777777777778
10001200-01,2012,1728.492747440273,1728.492747440273,0.8782081911262754,0.8782081911262754,292357.7218430034,292357.7218430034,4213.005119453925,4213.005119453925
