Monit_MAP_CODE1,pct_garage,pct_basement,Year
02000300-01,,,2002
02000300-01,1.0,0.9132990448199853,2004
02000300-01,1.0,0.9463161791928916,2005
02000300-01,1.0,0.9458962090541038,2006
02000300-01,1.0,0.9467499081894969,2007
02000300-01,1.0,0.9490758204451151,2008
02000300-01,0.8816016568864342,0.9492290334712298,2009
02000300-01,0.9190635451505017,0.9515370705244123,2010
02000300-01,0.9138851802403204,0.9516245487364621,2011
02000300-01,0.9123333333333333,0.9551212450235251,2012
02000300-01,0.9124500665778962,0.9552508119812342,2013
02000300-01,0.8958799105717024,0.9555396199354608,2014
02000300-01,0.8363011558887847,0.9271978021978022,2015
02000400-01,,,2002
02000400-01,,,2004
02000400-01,,0.8038763267189664,2005
02000400-01,,0.8,2006
02000400-01,,0.7992700729927007,2007
02000400-01,,0.8209606986899564,2008
02000400-01,0.7429958909226746,0.8193704600484262,2009
02000400-01,0.7671374440234241,0.8378378378378378,2010
02000400-01,0.7569707401032703,0.8368237347294939,2011
02000400-01,0.7585616438356164,0.8362369337979094,2012
02000400-01,0.7627060439560439,0.8362369337979094,2013
02000400-01,0.7649279341111874,0.837979094076655,2014
02000400-01,0.7466529351184346,0.8363636363636363,2015
02000500-01,,,2002
02000500-01,,,2004
02000500-01,,0.9158150851581508,2005
02000500-01,,0.9181426519865965,2006
02000500-01,,0.9171245421245421,2007
02000500-01,,0.9155963302752294,2008
02000500-01,0.6885361552028219,0.9000900090009001,2009
02000500-01,0.6918460995411225,0.8984861976847729,2010
02000500-01,0.6918995401485674,0.900709219858156,2011
02000500-01,0.6987610619469027,0.8567662565905096,2012
02000500-01,0.7049009384775808,0.8438308886971527,2013
02000500-01,0.7007955724662747,0.8324829931972789,2014
02000500-01,0.6922279792746114,0.8175,2015
02000600-01,,,2002
02000600-01,,,2004
02000600-01,,0.9,2005
02000600-01,,0.8991060025542784,2006
02000600-01,,0.8973717146433041,2007
02000600-01,,0.8596594245449207,2008
02000600-01,0.7478260869565218,0.8609970674486803,2009
02000600-01,0.7490842490842491,0.8619883040935673,2010
02000600-01,0.753199268738574,0.8629500580720093,2011
02000600-01,0.7610781178620375,0.8658606793321819,2012
02000600-01,0.7684594348222424,0.8697123519458545,2013
02000600-01,0.7777270652670014,0.8621271806415307,2014
02000600-01,0.7574234810415715,0.8649553571428571,2015
02000700-01,,,2002
02000700-01,,,2004
02000700-01,,0.8249427917620137,2005
02000700-01,,0.8256467941507312,2006
02000700-01,,0.7497237569060774,2007
02000700-01,,0.7375434530706837,2008
02000700-01,0.6423992673992674,0.7366898148148148,2009
02000700-01,0.6442307692307693,0.7344470046082949,2010
02000700-01,0.6292906178489702,0.724,2011
02000700-01,0.651797906235776,0.6929577464788732,2012
02000700-01,0.6624145785876994,0.6931246506428173,2013
02000700-01,0.6636322257624033,0.6843559977888336,2014
02000700-01,0.6541881141787552,0.6849917537108301,2015
02000900-01,,,2002
02000900-01,,,2004
02000900-01,,0.9795464650955981,2005
02000900-01,,0.9796189632255206,2006
02000900-01,,0.9798157086441421,2007
02000900-01,,0.9786666666666667,2008
02000900-01,0.8140665918443696,0.9786666666666667,2009
02000900-01,0.8169225009359791,0.9778761061946902,2010
02000900-01,0.8207335329341318,0.9780412823891085,2011
02000900-01,0.8280373831775701,0.9738105630728939,2012
02000900-01,0.8383691299599563,0.9740820734341252,2013
02000900-01,0.8312020460358056,0.9736057896977437,2014
02000900-01,0.8156484458735263,0.9739167017248632,2015
02001300-01,,,2002
02001300-01,1.0,0.9976608187134502,2004
02001300-01,1.0,0.9289222767986132,2005
02001300-01,1.0,0.9257000277238703,2006
02001300-01,1.0,0.8967449306296692,2007
02001300-01,1.0,0.8963022508038585,2008
02001300-01,0.8260028999516674,0.8958779443254818,2009
02001300-01,0.8274528757854036,0.895088093966898,2010
02001300-01,0.8292210933720368,0.895088093966898,2011
02001300-01,0.8249400479616307,0.8956776947705443,2012
02001300-01,0.8249400479616307,0.8929138022210471,2013
02001300-01,0.8312155358427236,0.8902342721768887,2014
02001300-01,0.8288050012022121,0.8901764550961285,2015
02002200-01,,,2002
02002200-01,,,2004
02002200-01,,0.9154078549848943,2005
02002200-01,,0.9109792284866469,2006
02002200-01,,0.9116347569955817,2007
02002200-01,,0.9153284671532846,2008
02002200-01,0.67384916748286,0.9160636758321273,2009
02002200-01,0.6785009861932939,0.918722786647315,2010
02002200-01,0.671875,0.9166666666666666,2011
02002200-01,0.6783625730994152,0.9166666666666666,2012
02002200-01,0.6783625730994152,0.9166666666666666,2013
02002200-01,0.6783625730994152,0.9077809798270894,2014
02002200-01,0.6392156862745098,0.9085714285714286,2015
02002600-01,,,2002
02002600-01,,,2004
02002600-01,,0.9170353982300885,2005
02002600-01,,0.9198717948717948,2006
02002600-01,,0.9211927582534611,2007
02002600-01,,0.9189336235038085,2008
02002600-01,0.7091126144050935,0.9168478260869565,2009
02002600-01,0.7157177225340818,0.9183451279259662,2010
02002600-01,0.7114767255216693,0.9198036006546645,2011
02002600-01,0.7130260521042084,0.9219858156028369,2012
02002600-01,0.7176,0.9224932249322493,2013
02002600-01,0.7172,0.9214943151055766,2014
02002600-01,0.6783273019702453,0.9195464362850972,2015
02003400-01,,,2002
02003400-01,,,2004
02003400-01,,0.8651685393258427,2005
02003400-01,,0.8743435858964741,2006
02003400-01,,0.8772893772893773,2007
02003400-01,,0.878765613519471,2008
02003400-01,0.6216610004856726,0.8814923189465984,2009
02003400-01,0.625092432832142,0.8821389596216807,2010
02003400-01,0.6233637935292665,0.8823316437364229,2011
02003400-01,0.634320987654321,0.8843390804597702,2012
02003400-01,0.6408415841584159,0.8856739590684545,2013
02003400-01,0.6538652130822596,0.8858543417366946,2014
02003400-01,0.6179634726044534,0.8908839779005525,2015
02004200-01,,,2002
02004200-01,,,2004
02004200-01,,0.8674407353652637,2005
02004200-01,,0.8699928040297433,2006
02004200-01,,0.8697318007662835,2007
02004200-01,,0.8726176115802171,2008
02004200-01,0.6521882198091478,0.8729201832650109,2009
02004200-01,0.6536561264822134,0.8753014954172696,2010
02004200-01,0.6518799472295514,0.8738543174143752,2011
02004200-01,0.6557809665182253,0.8754816955684007,2012
02004200-01,0.6578078573786729,0.8765342960288809,2013
02004200-01,0.6618716931216931,0.8708680142687277,2014
02004200-01,0.6355791569863923,0.8717827626918536,2015
02004500-01,,,2002
02004500-01,1.0,0.770573566084788,2004
02004500-01,1.0,0.8550860353505795,2005
02004500-01,1.0,0.8576936558009113,2006
02004500-01,1.0,0.8529308116997533,2007
02004500-01,1.0,0.8528113382899628,2008
02004500-01,0.8262605042016806,0.8467068645640075,2009
02004500-01,0.829143632001669,0.8462518827482332,2010
02004500-01,0.7917405360308687,0.8567789741808498,2011
02004500-01,0.7633980073413739,0.832593098735907,2012
02004500-01,0.7671795952782462,0.8320063694267515,2013
02004500-01,0.7367762128325509,0.830974753764293,2014
02004500-01,0.7055414336553126,0.8099119660906423,2015
02005300-01,,,2002
02005300-01,,,2004
02005300-01,,0.9335313335313336,2005
02005300-01,,0.9320219843795198,2006
02005300-01,,0.9318897863321304,2007
02005300-01,,0.9325913966093876,2008
02005300-01,0.7946283751550425,0.9328092724351618,2009
02005300-01,0.7971374045801527,0.9334777404092801,2010
02005300-01,0.7988538681948424,0.933461256278571,2011
02005300-01,0.8123719201258162,0.9341980738184045,2012
02005300-01,0.8209613196814562,0.9346124159223729,2013
02005300-01,0.8217622874229116,0.9348918505571335,2014
02005300-01,0.79675822122571,0.9352436457827424,2015
02007100-01,,,2002
02007100-01,1.0,0.8301195526417278,2004
02007100-01,0.9838709677419355,0.8454129544907296,2005
02007100-01,0.9833333333333333,0.847307184838671,2006
02007100-01,0.9833333333333333,0.890983504898921,2007
02007100-01,0.9841269841269841,0.8930301900857249,2008
02007100-01,0.8884268884268884,0.8943976202280615,2009
02007100-01,0.8902987657169223,0.892018779342723,2010
02007100-01,0.8893504095996307,0.8938533695383856,2011
02007100-01,0.8952127043004521,0.8758779365463792,2012
02007100-01,0.8945357721694837,0.8764656110238124,2013
02007100-01,0.882121352477999,0.8762238607518433,2014
02007100-01,0.8545351473922902,0.8607029505113436,2015
02007200-01,,,2002
02007200-01,1.0,0.9689922480620154,2004
02007200-01,1.0,0.7861315722631446,2005
02007200-01,1.0,0.7443837656696041,2006
02007200-01,1.0,0.7339808197422271,2007
02007200-01,1.0,0.7321658196068827,2008
02007200-01,0.7555123576784226,0.7222120378857317,2009
02007200-01,0.7597684515195369,0.7209047125525818,2010
02007200-01,0.697060788243153,0.7214503351614869,2011
02007200-01,0.7155907090736924,0.7215767382444188,2012
02007200-01,0.7189705964093158,0.7217597374977214,2013
02007200-01,0.704305848407502,0.720873786407767,2014
02007200-01,0.6955368729899001,0.7211189149915234,2015
02007501-01,,,2002
02007501-01,1.0,0.9895287958115183,2004
02007501-01,1.0,0.934918648310388,2005
02007501-01,1.0,0.9377052893872466,2006
02007501-01,1.0,0.9393527947499434,2007
02007501-01,1.0,0.9394281839755905,2008
02007501-01,0.8824424383811745,0.9394350282485876,2009
02007501-01,0.883470486640252,0.9398190045248869,2010
02007501-01,0.8778827593213451,0.9397781299524565,2011
02007501-01,0.883345188497104,0.9408542039355993,2012
02007501-01,0.8630081300813008,0.9404269587571253,2013
02007501-01,0.8496087795955696,0.9404735313826222,2014
02007501-01,0.8326346999284326,0.9414811549482036,2015
02007900-01,,,2002
02007900-01,1.0,0.968421052631579,2004
02007900-01,1.0,0.9605734767025089,2005
02007900-01,1.0,0.9192121039109334,2006
02007900-01,1.0,0.9187107815173987,2007
02007900-01,1.0,0.9308464849354375,2008
02007900-01,0.9279423538831065,0.9312625826862237,2009
02007900-01,0.9324252136752137,0.9327949235650418,2010
02007900-01,0.887613454351308,0.9328723710746183,2011
02007900-01,0.9303256807261079,0.9339486587828093,2012
02007900-01,0.9009081196581197,0.9333717911739255,2013
02007900-01,0.8506944444444444,0.9342143062338408,2014
02007900-01,0.8283082077051926,0.9343651476067641,2015
02008000-01,,,2002
02008000-01,,,2004
02008000-01,,0.8531431590068674,2005
02008000-01,,0.8571051241415742,2006
02008000-01,,0.8555263157894737,2007
02008000-01,,0.8568870699577951,2008
02008000-01,0.842487809366087,0.8569599180432834,2009
02008000-01,0.842508775170885,0.8568132290731958,2010
02008000-01,0.83009977827051,0.8572161642078255,2011
02008000-01,0.8421052631578947,0.8734421028778608,2012
02008000-01,0.8394503873109553,0.8729206744370261,2013
02008000-01,0.8398192548874954,0.8725589795688001,2014
02008000-01,0.8075329220001842,0.8723680271429997,2015
02008100-01,,,2002
02008100-01,0.9901960784313726,0.8282252316464719,2004
02008100-01,0.9900990099009901,0.8272823940452682,2005
02008100-01,0.9900990099009901,0.818342151675485,2006
02008100-01,0.9901960784313726,0.8278604034751877,2007
02008100-01,0.9901960784313726,0.8209751875360646,2008
02008100-01,0.8543463263194205,0.8351133107580099,2009
02008100-01,0.8446476321918399,0.8343733749349974,2010
02008100-01,0.8422552236228631,0.8341922185003865,2011
02008100-01,0.8423405119869971,0.8733975858519697,2012
02008100-01,0.8086439850236041,0.8733395696913003,2013
02008100-01,0.7839448369796543,0.8583103764921947,2014
02008100-01,0.7285515662059376,0.8177447552447552,2015
02008400-01,,,2002
02008400-01,,,2004
02008400-01,,0.9010521089916175,2005
02008400-01,,0.8962299575682475,2006
02008400-01,,0.8942073906345701,2007
02008400-01,,0.8949952925104765,2008
02008400-01,0.8655410241395016,0.8955372319265126,2009
02008400-01,0.8691022014112444,0.897256938808635,2010
02008400-01,0.8641081538361424,0.89838648750742,2011
02008400-01,0.8811844346170911,0.9101751472865741,2012
02008400-01,0.8746459531370698,0.9101305890025291,2013
02008400-01,0.8516587816132235,0.892969339029907,2014
02008400-01,0.8473322007544127,0.8819313060464831,2015
02009100-01,,,2002
02009100-01,,,2004
02009100-01,,0.9580119965724079,2005
02009100-01,,0.9585406301824212,2006
02009100-01,,0.9598070739549839,2007
02009100-01,,0.956953642384106,2008
02009100-01,0.7811887655127367,0.9602649006622517,2009
02009100-01,0.7818419333768779,0.9604286892003298,2010
02009100-01,0.7834311806914547,0.957131079967024,2011
02009100-01,0.7843648208469055,0.9591836734693877,2012
02009100-01,0.7905009759271308,0.9596448748991122,2013
02009100-01,0.8035133376707873,0.960095770151636,2014
02009100-01,0.8048145738451529,0.9607227022780833,2015
02009100-02,,,2002
02009100-02,,,2004
02009100-02,,0.9308694934829236,2005
02009100-02,,0.927825108503456,2006
02009100-02,,0.9275201772432347,2007
02009100-02,,0.9284816095567432,2008
02009100-02,0.7647352647352648,0.9281811085089774,2009
02009100-02,0.7655275629832876,0.9291400031215857,2010
02009100-02,0.7640955119389924,0.927289748790763,2011
02009100-02,0.766167290886392,0.9279925187032418,2012
02009100-02,0.7690672668167042,0.9275722723033882,2013
02009100-02,0.7738184546136534,0.9269349845201238,2014
02009100-02,0.753441802252816,0.9260504201680673,2015
02009100-03,,,2002
02009100-03,,,2004
02009100-03,,0.9198659354052408,2005
02009100-03,,0.9195060258890047,2006
02009100-03,,0.9198647257756213,2007
02009100-03,,0.9195369030390738,2008
02009100-03,0.759328147897644,0.916462624225839,2009
02009100-03,0.7613085166384659,0.9163312248418631,2010
02009100-03,0.757842473482284,0.9169903610991225,2011
02009100-03,0.7626525079078175,0.9166068609157456,2012
02009100-03,0.7664481121410807,0.9174154899443732,2013
